No,질문,답변
000538,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 채권 단가관련해서 클린단가를 확인할수 있나요?","안녕하세요. CHECKExpert+ 입니다.

Clean Price는 3435화면과 3805화면에서 확인이 가능한데요,
평가사 중에 KAP와 FN의 'C.단가'로 적혀있는 부분이
Clean Price입니다.

3435화면은 특정 종목을 검색해서 일별 추이를  살펴보실 수 있고,
3805화면은 특정 분류에 속한 종목들의 특정 일자 기준의 단가를
확인가능하십니다.

이용에 도움이 되셨길 바랍니다.
감사합니다.
"
000533,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 국가신용등급(S&P, 무디스, 피치) 확인 가능 화면 알려주세요~","안녕하세요. CHECKExpert+ 입니다.

3940화면의 왼쪽의 중분류에서 Country를 더블클릭하시면
우측에 국가명이 조회가 되는데요,
조회를 원하시는 국가를 더블클릭하시면
화면 왼쪽 하단에서 국가신용등급을 조회하실 수 있습니다.

감사합니다."
000531,"- 화면번호 : 오후 4시 30분 이후에 당일 CD종가 수익률 볼 수 있는 방법 있을까요? 


","안녕하세요. CHECKExpert+ 입니다.

금융투자협회에서 산출하는 최종호가수익률의 CD91일물 수익률은
3220화면에서 확인이 가능하십니다.

만약, 평가사에서 산출하는 등급별/만기별 CD수익률을 말씀하신 것이라면
3743화면에서 확인이 가능하십니다.
다만 당일자 데이터는 오후 6:30에서 7:00 사이에 조회가 가능합니다.

감사합니다.
"
000528,"- 화면번호 : 없음

- 문의내용 : 엑셀 프리미엄 수식 관련 질문드립니다.
현재 엑셀에서 CT수식을 사용해 9125 를 넣어주면, 민평3사 수익률이 나오는 것으로 알고있습니다. 그러면 혹시 채권종목의 쿠폰금리를 알려주는 CT함수의 명령어(숫자)도 있을까요? 

감사합니다.","안녕하세요. CHECKExpert+ 입니다.

16392가 표면금리에 해당합니다.

엑셀프리미엄에서 사용할 수 있는 항목정보(FID)가 궁금하실 때에는
CHECK화면 중 해당 데이터가 있는 부분에서 마우스 우클릭하시고
[엑셀실시간 붙여넣기]를 클릭하시면
해당 항목만 엑셀에서 CT함수로 조회가 됩니다.
그 함수 수식에서 FID를 확인하실 수 있습니다.

감사합니다."
000522,"- 화면번호 : 3926
- 전화번호 : 
- 문의내용 : 3926화면에서 제공되는 미국채 데이터 소스는 어떻게 될까요?","안녕하세요. CHECKExpert+ 입니다.

해외국채 데이터는 Tullet Prebon 통해서 받고 있습니다.

감사합니다."
000513,"- 화면번호 : 1443

- 문의내용 : 456880,  456200, 456610 종목들이 사실상 같은 SOFR지수를 추종하고 있음. 그러나 화면상 보여지는 '적용환율'을 보면 456880만 실시간으로 변하는듯함. 이유는 무엇인가요?","안녕하세요. CHECKExpert+ 입니다.
SOFR지수를 추종하는 종목 중 iNAV 산출방식에 따라 적용환율이 달리 보여집니다.
지수수익률방식을 이용하는 경우, 적용환율이 실시간환율로 보여지며, 별도의 산식으로 iNAV를 산출하는 경우에는 적용환율이 기준환율과 동일하게 적용됩니다.

감사합니다."
000512,"- 화면번호 : 3741

- 문의내용 : 안녕하세요. 3741 화면의 금리 업데이트 시간이 궁금합니다. ","안녕하세요. CHECKExpert+ 입니다.

해당 데이터는 일자별로 차이가 좀 존재하지만
보통 오후 6:30 전후로 당일 데이터가 업데이트 됩니다.
늦어질 경우 오후 7:-00정도에 업데이트 되는 경우도 가끔 존재합니다.

감사합니다."
000492,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 
업체별 Cp, 전단채 시장전체 유통물량 (잔액) 을 확인할 수 있는 화면이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

CP는 3064화면에서 화면 상단의 검색창에 조회를 원하는 업체를 입력하시면
해당 업체의 잔존 CP의 만기 일자 및 금액을 조회할 수 있습니다.
전단채는 3045화면에서 가능한데요, 왼쪽 상단에서 발행기관을 입력하고,
만기일 왼쪽의 체크박스에 체크 후,
만기일을 오늘부터 충분히 긴 임의의 날짜까지 세팅하고 조회하시면
해당 기관의 잔액을 확인할 수 있습니다.

감사합니다."
000471,"- 화면번호 : 5107

- 문의내용 : 안녕하세요. 미국달러 스프레드 선물 차트 및 가격을 보고싶은데, 어떻게 볼 수 있을까요? 5107화면에는 달러-원 1분차트는 나오는데, 스프레드 선물 차트는 볼 수 없을까요?
","안녕하세요. CHECKExpert+ 입니다.

5107화면은 달러원 SPOT에 대해서만 보여주는 차트여서
달러 스프레드 선물차트는 조회가 어렵습니다.

종합차트인 8112화면에서는 조회가 가능한데요,
왼쪽 상단의 돋보기버튼을 누르고
대분류에서 선물, 중분류에서 USD선물을 클릭한 뒤
왼쪽의 종목리스트에서 원하시는 스프레드 월물을 선택하시면
해당 종목의 차트를 보실 수 있습니다.

만약 조그마한 화면에서 보시고 싶으시면,
4392(일중), 4393(일별) 차트에서도 조회가 가능하십니다.

감사합니다."
000469,"- 화면번호 : 3022

- 문의내용 : + 버튼 누루면 나오는 탭구성변경은 원하는 화면 어떻게 추가하는건가요?","안녕하세요. CHECKExpert+ 입니다.

원하는 화면을 추가하기 위해서는 탭구성변경을 누르지 마시고,
추가를 원하는 화면의 탭명이 있는 부분을 드래그해서
3022화면의 탭명이 있는 위치로 끌어다 놓으면 추가가 됩니다.

만약 추가를 원하는 화면을 찾기 어렵다면
CHECK왼쪽 상단의 검색창에서 검색어 입력을 통해서 찾을 수 있습니다.

감사합니다."
000458,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 미국채 30년 금리는 없나요?","안녕하세요. CHECKExpert+ 입니다.

3931화면에서 상단에서 [미국]을 선택하시면
모든 만기의 금리를 보실 수 있는데
맨 하단에 30Y 금리를 확인할 수 있습니다.

감사합니다."
000446,"- 화면번호 : ??

- 문의내용 : 아시아시장에서 거래되는 미국채 금리 확인하는 화면이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

3931화면 상단에서 미국을 선택하시고, 왼쪽 하단의 [일중추이]탭에서
아시아시장뿐만 아니라 아시아시장 마감 후 유럽시장에서
거래되는 미국채금리까지 같이 조회하실 수 있습니다.

감사합니다.
"
000441,"- 화면번호 : 없음

- 문의내용 : 혹시 채권종목 여러개 민평을 계속 띄워놓고 볼 수 있는 화면이 있을까요? 예를들어, A B C D E라는 5개 채권종목이 있는데, 이게 현재 3471 화면에서는 일일이 검색해야하니 불편해서요. 혹시 개별적으로 한개 한개 보는거 말고, 5개를 한번에 어떤 화면에 띄워놓고 볼 수 있는 방법 없나요? 주식 관심종목 모아서 띄워놓는 것 처럼요!","안녕하세요. CHECKExpert+ 입니다.

채권의 관심종목을 등록해서 포트폴리오를 만들고
그 포트폴리오의 여러가지 정보를 조회할 수 있는 화면들이 있는데요,

CHECK상단의 메뉴에서 
채권 > 채권 포트폴리오 경로에 다양한 화면들이 있습니다.

문의주신 민평조회는 3805화면에서 조회가 가능한데요,
화면 상단에서 [등록] 버튼을 누르고 
조회를 원하는 채권들을 추가해서 포트폴리오를 만들면
해당 종목들의 민평을 한 번에 확인이 가능합니다.

감사합니다."
000434,"- 화면번호 : 

- 문의내용 : 채권ETF BM 시계열을 모두 뽑을 수 있는 화면 번호 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.

1440화면에서 ETF를 조회하면 종목명 옆에 기초지수명을 확인할 수 있습니다.

3750화면 왼쪽 상단에서 해당 기초지수명을 선택하시고
바로 우측에서 [일별]버튼을 클릭하시면
화면 하단에 해당 기초지수의 일별 데이터를 확인할 수 있습니다.

감사합니다."
000432,"- 화면번호 : 

- 문의내용 : 안녕하세요 혹시 채권 종목별 고가와 저가를 어떻게 볼 수 있나요? ","안녕하세요. CHECKExpert+ 입니다.

3704화면에서 조회가 가능합니다.

왼쪽 상단에서 종목과 조회할 시장을 선택하시면
일별로 고가/저가 확인이 가능합니다.

감사합니다."
000413,"- 화면번호 : 3000
- 전화번호 : 
- 문의내용 : 
민평4사 단가를 소수점 둘째자리까지 확인 할 수 있는 화면이 있을까요? 
","안녕하세요. CHECKExpert+ 입니다.

3435화면에서 조회가 가능합니다.

종목검색창에서 해당 종목을 선택하시고
민평4사를 선택하시면 
소수점 둘째자리까지의 단가를 확인할 수 있습니다.

감사합니다."
000412,"- 화면번호 : 3471 / 3435

- 문의내용 : 
  3471 화면에 나와있는 동 종목의 단가와
  3435 화면에 나오는 단가의 차이가 발생하는 이유가 무엇인가요?","안녕하세요. CHECKExpert+ 입니다.

3471화면의 단가는 CHECK자체의 단가계산 로직에 의해 산출한 단가이고,
3435화면의 단가는 민간평가사 세 곳(KIS, NICE, KAP)의 단가를 평균한 값입니다.

CHECK의 로직과 평가사의 로직은 다르기 때문에 
단가 차이가 발생합니다.

감사합니다.
"
000396,"- 화면번호 : 3000

- 문의내용 : 만기가 주말이나 공휴일이 낄 경우 실제 만기자금이 들어오는 날짜를 확인할 수있는 화면이 있을까요?
","안녕하세요. CHECKExpert+ 입니다.

3007화면에서는 원리금지급일이 휴무일일 때 실제 이자지급일이 언제인지
확인할 수 있는데요, 다만 지급일이 일요일인 경우는 제외되어 있고,
국채/통안채의 경우, 토요일이 공휴일인 경우(설, 추석 연휴 등으로)
실제 지급일과 다르게 조회되는 경우가 있습니다.

이용에 불편을 드려 죄송합니다.
감사합니다.
"
000395,"- 화면번호 : 3435

- 문의내용 : 채권 민평3사 c.단가를 확인할 수 있는 화면은 없나요? ","안녕하세요. CHECKExpert+ 입니다.

Clean Price는 3435화면에서 조회되는 대로
KAP와 FN에서만 제공하고 있어서
민평3사 평균치는 산출하고 있지 않습니다.

이용에 불편드려 죄송합니다.
감사합니다."
000357,"- 화면번호 : 3741

- 문의내용 : 개별 기업별 크레딧 스프레드 관련 증권사 스프레드 조회중에 있는데요, ""현대차증권"" 의 경우 3741화면상 일별 추이가 23.3.10일부터만 조회가 되는거 같은데 그 이전데이터는 확인이 불가능할까요?","안녕하세요. CHECKExpert+ 입니다.

3741화면의 텀스트럭쳐는 평가사에서 텀스트럭쳐를 산출하는 기업만
대상으로 데이터가 존재합니다.

화면 하단의 [채권종목] 탭을 보시면,
현대차증권이 3/10에 2년, 3년만기 채권을 발행하면서
그 때부터 평가사에서 텀스트럭쳐를 산출한 것으로 판단이 됩니다.

감사합니다."
000343,"- 화면번호 : 3269

- 문의내용 : 3269 화면에서 오늘 실시간 외국인들의 국채 거래대금을 볼 수 있는데요, 이 실시간 금액을 합친 금액을 볼 수 있는 화면이 따로 있나요? 예를 들어 오늘 지금까지 실시간으로 외국인은 총 얼마의 국채를 순매수했다 등의 정보를요. 또, 이 화면의 거래는 장내 거래인가요, 장외 거래인가요?","안녕하세요. CHECKExpert+ 입니다.

기본적으로 투자자와 관련된 데이터는 장외거래를 대상으로 하고 있으며
3269화면도 장외거래를 대상으로 하고 있습니다.

장내국채시장에서 투자자별 거래량은 3294화면의 상단에서
[KTS]를 선택하면 보실 수 있는데,
장내국채시장에 외국인은 참여가 불가능하므로
외국인의 순매수는 0으로 조회가 됩니다.

실시간 투자자별 거래량은 3260화면에서 조회가 가능한데,
우측 상단에 실시간에 체크를 하시면
당일 현재 기준으로 투자자별/채권종류별로 순매수 금액 조회가 가능합니다.

감사합니다."
000339,"- 화면번호 : 3022
- 전화번호 : 
- 문의내용 : 신종자본증권, 코코본드에 대한 통계자료(발행, 잔액, 만기 등)를 찾고싶습니다. 발행기관별로 알수있으면 더 좋고요. 따로 화면은 없는거 같아서 3022화면에서 조건을 통해 찾을수 있을거 같은데 방법이 있다면 안내 부탁드리겠습니다. (원화채권외에 달러도 알수있으면 좋을거 같습니다) 혹시 체크 상에서 찾을수 있는 방법이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

거래소로부터 신종자본증권의 구분자를 따로 받고 있지가 않아서
완전한 검색은 어렵긴 합니다.

3022화면에서 ELS/DLS를 제외하기 위해
'ELS/DLS'에 체크하고, '일반'에 체크하신 뒤
상단의 '종목명검색'에 ""신종""을 입력하고 검색하시면
신종자본증권 일부가 검색이 됩니다.

그리고 '영구채'에 체크하시고, '영구'에 체크하신 뒤
상단의 '종목명검색'에 ""신""을 입력하고 검색하시면
종목이 검색되는데, 이 중 일부는 신종자본증권이 아닐 수 있습니다.

이용에 불편을 드려 죄송합니다.
감사합니다."
000337,"- 화면번호 : 3471

- 문의내용 : 3471에 mod duration이 표기되지 않는 경우가 있는데 이유가 무엇인가요?","안녕하세요. CHECKExpert+ 입니다.

시가평가데이터가 존재해야지만 듀레이션을 산출할 수가 있습니다.

감사합니다."
000336,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요, 한국, 그리고 미국 등 
""기준금리"" 전망 및 예상 Poll 같은 것이 있는지 문의드립니다. ","안녕하세요. CHECKExpert+ 입니다.

FOMC와 금통위 직전에
CHECK사용자들 대상으로 예상 Poll을 진행하고 있습니다.

Poll 결과는 2710화면에서 확인이 가능합니다.
표의 왼쪽 상단에서 FOMC와 금통위를 선택하여 조회할 수 있습니다.

감사합니다."
000330,"- 화면번호 : 3781

- 문의내용 : 보험사가 장내에서 증권사 통해 지표물을 매매한 경우 장외거래에 합산되는지, 혹은 장내거래로 분류되는지 문의드립니다. 장내거래로 분류된다면 보험사 장내 거래만 따로 조회할 수 있는 화면이 있는지 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.

3294화면 상단에서 [KTS]를 선택하면
장내국채시장에 참가한 투자주체별 거래량을 확인할 수 있습니다.

만약 보험사가 증권사에게 매매요청을 하고, 
증권사가 장내에서 지표물을 매매한 경우는
증권사의 장내거래로 분류가 됩니다.

보험사가 장내국채시장에서 거래를 하면 3294화면에서
보험사쪽에 데이터가 조회될텐데,
현재는 보험사가 장내국채시장에서 거래하는 것이 불가능하므로
데이터는 0으로 조회되고 있습니다.

감사합니다."
000318,"- 화면번호 : 3741

- 문의내용 : 3741화면에서 예보기금특별계정채권(예금보험공사)도 정부보증으로 나와있는데 사유가 있나요? 예금보험공사법에 정부 보증에 대한 규정이 따로 없는 것 같아서 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.

예금자보호법 제26조의2(예금보험기금채권의 발행 등) 5항에
""정부는 예금보험기금채권의 원리금 상환을 보증할 수 있다""
고 기재되어 있습니다.

예금보험기금채권도 국회의 동의를 얻으면 정부가 보증하게 되므로
CHECK에서는 예보기금채권을 정부보증채로 분류하고 있습니다.

감사합니다."
000316,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 3905의 현금흐름표에 현재가치가 나오는데요. 세율을 0%로 계산실행을 했을 때 현재가치와 3904 화면의 가격이 다른데 어떤 차이가 있는지 궁금합니다","안녕하세요. CHECKExpert+ 입니다.

3905화면의 관행적 현재가치는 시장의 관행에 따라
CHECK 자체적으로 산출한 가격입니다.

3904화면의 가격은 시장에서 해당 수익률로 거래한 가격입니다.
시장에서 거래할 때는 산출한 가격에서 원미만은 버리고
브로커수수료를 제하여 거래를 하므로
3905화면에서 보여지는 산출한 가격과 다를 수 있습니다.

감사합니다."
000310,"- 화면번호 : 

- 문의내용 : 3805와같이 추가한 종목에 대해서 엑셀추출이 가능한 화면중에 신용등급을 보여주는 화면이 있는지 확인 부탁드립니다.","안녕하세요. CHECKExpert+ 입니다.

3806화면에서 가장 최근에 평가한
신평사별 평가등급과 평정일자를 확인할 수 있습니다.

감사합니다."
000309,"- 화면번호 : 5130

- 문의내용 : 원화 거래에 있어 매수/매도별 거래량을 분해해서 확인할 수 있을까요?, 전체 거래량은 확인되나 매수/매도로 따로 구분되지는 않아서 연락드립니다.
","안녕하세요. CHECKExpert+ 입니다.

거래량을 매수와 매도를 분리해서 데이터를 수신하고 있지 않아서
매수/매도 각각의 거래량은 확인할 수 없는 점 양해부탁드립니다.

감사합니다."
000307,"- 화면번호 : 3805/3431

- 문의내용 : 안녕하세요, 3805화면에서 국채, 통안채 민평금리를 비교일을 지정하여 확인하고 있습니다. 혹시 하루 말고 3431 화면처럼 민평금리 일별 추이를 종목별로 확인할수 있는 화면이 있는가요? 
","안녕하세요. CHECKExpert+ 입니다.

개별종목의 민평데이터 일별추이는
3435화면에서 확인이 가능합니다.

3805화면에서 조회한 종목을 드래그&드롭으로 3435화면에 던져넣으면
조금 더 쉽게 조회하실 수 있습니다.

감사합니다."
000288,"- 화면번호 : 3741

- 문의내용 : 안녕하세요 3741화면에서 정부보증채로 장학재단이랑 예금보험공사가 분류되어있는데 장학재단법 제18조에따르면 '정부가 채권 원리금 상환을 보증할 수 있다'로 보증 의무가 있는건 아닌 것 같은데, 정부보증으로 분류된 이유가 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.

장학재단법에 말씀하신 대로 ""보증할 수 있다""라고 적혀있지만
기획재정부에서는 매년 연말에 차년도에 발행하는
""한국장학재단채권에 대한 국가보증동의안""을
국회 기획재정위원회에 상정하여 국회의 동의를 얻고 있습니다.

따라서 이러한 절차를 거치면 장학재단채권의 원리금을 
정부가 보증하게 되므로
CHECK에서는 한국장학재단이 발행한 채권을
정부보증채로 분류하고 있습니다.

감사합니다."
000287,"- 화면번호 : 3101

- 문의내용 : 해당 화면에서 ""지표기준 전일대비"" 탭의 숫자는 어떤 숫자와 비교하면 될까요?  ""회종호가수익률 전일"" 탭의 숫자에서 현해 수익률을 빼면 저 값이 안 나와서요.","안녕하세요. CHECKExpert+ 입니다.

지표기준 전일대비값은 장내국채시장에서 전일종가와 비교한 값입니다.

장내국채시장의 전일종가는 3080화면 맨 하단에서 확인하시거나
3082화면에서 확인이 가능합니다.

감사합니다."
000276,"- 화면번호 : 3703 채권유통 > 건별체결
- 전화번호 : 
- 문의내용 : 
건별체결에서 특정 종목에 대해 실시간 시세를 눌렀는데, 실시간 반영이 안되고 안나옴. 안나오는 이유가 무엇인가요?","안녕하세요. CHECKExpert+ 입니다.

아래의 사항들에 대해서 살펴봐주십시오.

1. 왼쪽 상단의 시장 선택에서 혹시 장내소액, 장내주식, 장내일반으로
선택이 되어 있을까요? 국고22-9는 해당 시장에서는 시세가 없을 수 있습니다.

2. 화면 상단 중간에 거래량(백만)필터가 있습니다. 
그 필터에 혹시 숫자가 입력이 되어 있다면, 
그 필터에 해당되지 않는 시세는 조회가 안 됩니다.

3. 왼쪽 상단의 일자가 오늘이 아닌 과거일자로 세팅이 되어 있다면
오늘의 실시간 시세가 조회가 안 됩니다.

4. 화면 우측 상단의 시간 입력칸에 특정 시간이 입력이 되어 있다면
그 시간에 해당하지 않는 시세는 조회가 안 됩니다.

감사합니다."
000270,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요 오늘 오후 3시30분즘에 거래된 특정 채권의 거래주체를 알 수 있을까요? ","안녕하세요. CHECKExpert+ 입니다.

당일 특정 종목체결의 투자자정보는 공개가 안되고
내일 되면 오늘 거래에 대한 투자자정보를 3212화면에서 확인할 수 있습니다.

다만, 3269화면에서는 당일 특정거래의 투자자 추정거래를 볼 수 있는데요,
먼저 화면 상단에서 회사채를 선택하시고,
그 아래 왼쪽부터 차례로 전체, 거래량, NET로 선택하신 뒤
톱니바퀴 모양을 클릭하고 나온 팝업창에서
None, 순매수, >, 100으로 입력하고, 행색상 강조에 체크를 합니다.

그 뒤에 화면 왼쪽의 표에서 문의주신 15:30분쯤 거래를 더블클릭하면
그 거래로 추정되는 종목의 거래내역을 오른쪽 표에서 색칠해주는데,
왼쪽에서 여러개를 더블클릭하시다면 말씀주신 종목의 거래가 색칠될 것입니다.

다만, 이는 추정이므로 정확한 정보는 아니니 참고부탁드립니다.
감사합니다. "
000239,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요 혹시 크레딧채권 입찰낙찰 관련된 정보는 어디서 볼 수 있나요? ","안녕하세요. CHECKExpert+ 입니다.

3058화면에서 회사채 수요예측 관련한 정보를 조회할 수 있습니다.

감사합니다."
000230,"- 화면번호 : 

- 문의내용 : 안녕하세요~ 국채 지표물이랑 경과물 금리 한판에 다 볼수 있는 화면이 있을까여
","안녕하세요. CHECKExpert+ 입니다.

3705화면에서는 국고채 지표물(종목명 앞에 * 표시된 종목), 일부 경과물,
국채선물 바스켓 종목 등의 호가 및 체결정보를 보실 수 있습니다.

또는 3704화면에서 상단의 [국고]버튼을 클릭해서 [국고채]를 선택하시면
모든 국고채의 체결 수익률 및 민평대비 스프레드를 같이 보실 수 있습니다.

감사합니다."
000226,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 금통위 금리 인하, 동결, 인상 등 전망을 확인할 수 있는 화면이 있나요??","안녕하세요. CHECKExpert+ 입니다.

매번 금통위나 FOMC를 앞두고 CHECK사용자를 대상으로
금리결정 예상에 대해 설문조사를 하고 있습니다.
2710화면에서 설문조사 결과를 확인할 수 있습니다.

또는 3500화면에서는 증권사리포트를 확인할 수 있는데요,
화면 상단의 [경제] 또는 [채권] 카테고리에서
금통위나 FOMC 전망에 대한 리포트도 찾아볼 수 있습니다.

감사합니다.
"
000214,"- 화면번호 : 

- 문의내용 : KORIBOR 조회할 수 있는 화면 번호","안녕하세요. CHECKExpert+ 입니다.

2001화면에서 왼쪽 상단의 한자 석삼자 모양의 버튼을 클릭하신 뒤
국가별 > 한국 > 금리 및 환율 > 시장금리(한국은행) > 일별
위 경로로 들어가시면 KORIBOR 금리를 선택해서 조회하실 수 있습니다.

감사합니다.

"
000209,"- 화면번호 : 
- 전화번호 : 

전단채 종목명으로 발행정보조회 화면 (민평, 종목정보)
","안녕하세요. CHECKExpert+ 입니다.

3049화면에서 왼쪽 상단의 돋보기버튼을 누른 뒤, 발행기관을 선택하고, 
조회하고자하는 종목을 선택하면, 발행정보가 조회가능합니다.
다만, 전단채의 민평은 평가사에서 산출을 하지 않으므로 조회가 불가능합니다.

감사합니다.
"
000209,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 

특수은행채(산금채 등) 만기 경과 종목 발행정보 조회화면","안녕하세요. CHECKExpert+ 입니다.

3000화면에서 왼쪽 상단의 돋보기버튼을 누른 뒤 나오는 팝업창에서
왼쪽 중분류에서 '종목-발행기관'을 선택하고,
화면 상단의 [민평3사] 버튼 왼쪽에서 '전체'로 설정하고,
'검색' 옆의 빈 칸에 발행기관을 입력한 뒤 해당 발행기관을 클릭하면
우측에서 만기지난 종목도 선택이 가능합니다.

감사합니다.
"
000208,"- 화면번호 : 3805
- 전화번호 : 
- 문의내용 : 신규발행 채권의 정보 반영 시기 문의
안녕하세요~
신규 발행된 회사채나 신규자본증권의 경우 체크단말 정보에 언제쯤 반영이 되는지, 반영 기준을 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.

개별채권의 시가평가정보는 네 군데의 시가평가사에서 
데이터를 저희 쪽에 송부할 때 조회가 가능합니다.

일자별로 조금씩 차이가 발생하지만
대략 오후 6:30 전후로 데이터가 입수가 됩니다.

감사합니다."
000204,"- 화면번호 : 

- 문의내용 : 30년 국채 금리 시계열 코드를 찾고 싶습니다","안녕하세요. CHECKExpert+ 입니다.

엑셀에서 시계열 금리를 조회하는 수식이 궁금하신 것일까요?

30년 국채 민평금리 조회를 원하신다면,
3430화면에서 민평3사 또는 민평4사를 선택하시고,
국고채 30Y 금리가 있는 셀을 클릭하신 다음,
화면 하단의 추이탭에서 시계열 금리추이를 조회할 수 있는데,
해당 데이터에서 마우스 우클릭하시고
'엑셀 premium으로 보내기'를 선택하시면, 엑셀에서 조회할 수 있습니다.

A1셀에 해당 데이터를 조회하기 위한 수식을 확인할 수 있는데,
A1셀을 선택하신 뒤, 엑셀 상단의 메뉴에서 'XL Premium Lib'를 선택하시고
'함수빌더'를 선택하시면 도움말과 함께 
함수의 각 인자에 대한 설명을 보시면서 변형해서 활용할 수 있습니다.

감사합니다."
000196,"- 화면번호 : 3269

- 문의내용 : ""사모""는 헤지펀드인가요?","안녕하세요. CHECKExpert+ 입니다.

사모는 사모펀드를 운용하는
자산운용회사, 사모투자회사, 사모투자전문회사를 의미합니다.

다만 위의 구분은 예시정보로 실제 투자자 구분은
거래계좌의 성격에 따라서 구분됨을 참고바랍니다.

감사합니다."
000189,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 미 국채수익률 상황을 시계열 등으로 볼 수 있는 화면이 있을지요","안녕하세요. CHECKExpert+ 입니다.

3931화면에서 조회가 가능합니다.

화면 상단에서 국가를 미국으로 선택해주시고
조회를 원하는 만기를 더블클릭하신 다음
좌측하단에서 일별추이탭을 선택하시면
우측하단의 차트에서 시계열로 조회가 가능합니다.

감사합니다."
000177,"- 화면번호 : 3031, 3471

- 문의내용 : 안녕하세요 혹시 회사채(무보증사채) 개별기업 월별 혹은 연도별 채권 잔액이나 순발행 추이 등 알 수 있는 화면이 있나요?","안녕하세요. CHECKExpert+ 입니다.

3035화면 상단의 종목검색창에서 원하는 발행기관을 입력하고
왼쪽상단에서 '월'을 선택하시면
월별 발행, 상환, 순발행, 잔존액 등의 과거추이를 확인할 수 있습니다.

참고로 7101화면에서도 발행기관을 입력하면
우측 하단의 표에서 향후 도래할 월별 채권, 전단채, CP등의 
만기도래액 등도 확인할 수 있고,
3037화면에서는 채권만의 만기도래액을 확인할 수 있습니다.

감사합니다.

감사합니다."
000173,"- 화면번호 : 3805
- 전화번호 : 
- 문의내용 : 채권시가평가의 경우 어떤 경우의 경우 정보가 없는 경우도 있는데 어떤 경우에 그런건지 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.

시가평가데이터는 채권평가사로부터 받는 데이터여서 정확한 것은
평가사에 문의해봐야 하지만, 
사모채권의 경우에는 대부분 시가평가를 하지 않고
고객이 요구할 경우에만 시가평가를 하는 것으로 알고 있습니다.

감사합니다."
000170,"- 화면번호 : 

- 문의내용 : 스트립채권에 대해서 분석해보고 싶어요. 화면번호 주로 뭐 보면 될까요","안녕하세요. CHECKExpert+ 입니다.

CHECK 왼쪽상단의 종목검색창에서 스트립 또는 STRIP을 입력하시면
연관된 화면리스트를 확인할 수 있습니다.

3075화면에서는 잔존중인 스트립채권들의 리스트를 확인할 수 있고,
3906화면에서는 계산기를 통해 분석할 수 있습니다.

감사합니다."
000168,"- 화면번호 : 

- 문의내용 : 전단채 일중 체결내역 및 금리 확인하는 화면이 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.

3072화면에서 조회 가능합니다.
화면 상단에서 조회를 원하는 일정을 세팅하시고,
전단채에만 체크하신뒤 조회하시면
해당 기간동안의 전단채 거래내역을 조회할 수 있습니다.

감사합니다.
"
000157,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 민평 5사가 1월9일부터 있는 것으로 알고 있습니다.
민평5사기준 금융채와 CD금리를 일자별 또는 시계열로 볼 수 있는 방법 문의드립니다.
","안녕하세요. CHECKExpert+ 입니다.

이지자산평가가 새롭게 설립되면서 금융투자협회 채권정보센터 홈페이지에서는
시가평가기준수익률을 민평5사까지 고객이 선택해서 산출할 수는 있지만,
아직 국내 정보단말에서 민평5사를 제공하고 있는 곳은 없습니다.

당사는 민평5사값을 제공하는 것에 대해 내부 검토중이긴 합니다만
아직까지 정해진 것은 없습니다.

또한 CD금리는 민평값을 산출하지 않음도 말씀드립니다.

감사합니다.
"
000150,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요 발행사 만기별 민평금리를 보고 싶은데 해당 화면 있을까요? 개별종목별 or 그룹 or 등급별 말고 발행사별로 보고 싶습니다","안녕하세요. CHECKExpert+ 입니다.

3741화면에서 조회가 가능합니다.

왼쪽 신용그룹에서 조회를 원하시는 발행사가 속한 신용그룹을 선택하면
우측 상단의 표에서 발행사별 테너별 민평금리를 확인할 수 있습니다.

다만 모든 발행사에 대해서 민평금리가 존재하지는 않고
평가사에서 산출하는 발행사에 대해서만 조회되는 점 참고부탁드립니다.

감사합니다.
"
